Bt20_ID,BH_ID,Date,Way_Point
3836854,,"CRTD 11:54 28-NOV-06","S26 13.165 E27 48.396"
1616634,384,"CRTD 09:23 16-SEP-06","S26 14.981 E27 51.036"
3846465,,"CRTD 06:19 28-OCT-06","S26 14.919 E27 49.145"
3856838,,"CRTD 14:51 11-OCT-06","S26 15.384 E27 51.080"
2111137,389,"CRTD 07:24 15-OCT-06","S26 11.777 E27 48.085"
3890081,,"CRTD 10:52 31-OCT-06","S26 15.033 E27 52.555"
3898537,,"CRTD 12:02 15-OCT-06","S26 15.158 E27 51.852"
3900585,,"CRTD 09:13 06-NOV-06","S26 13.546 E27 52.589"
3930049,,"CRTD 12:14 04-DEC-06","S26 17.261 E27 50.359"
3936468,,"CRTD 11:01 18-OCT-06","S26 13.893 E27 53.006"
3972065,,"CRTD 09:47 15-OCT-06","S26 16.643 E27 50.866"
3974113,,"CRTD 11:56 15-SEP-06","S26 15.367 E27 49.766"
3981545,,"CRTD 08:01 28-OCT-06","S26 14.454 E27 49.721"
4003524,,"CRTD 06:32 23-SEP-06","S26 15.162 E27 49.253"
4042204,,"CRTD 14:12 19-OCT-06","S26 14.862 E27 50.017"
4043052,,"CRTD 11:36 12-OCT-06","S26 14.163 E27 52.255"
4048172,,"CRTD 10:30 10-OCT-06","S26 15.736 E27 54.760"
1244297,405,"CRTD 10:45 16-SEP-06","S26 14.599 E27 52.915"
4067132,,"CRTD 06:13 07-OCT-06","S26 14.386 E27 53.959"
4084220,,"CRTD 13:48 06-NOV-06","S26 14.800 E27 49.142"
4089604,,"CRTD 12:53 10-NOV-06","S26 13.486 E27 49.142"
4094724,,"CRTD 11:02 09-NOV-06","S26 13.659 E27 51.092"
4095572,,"CRTD 09:06 05-DEC-06","S26 13.669 E27 49.166"
4097620,,"CRTD 13:22 04-OCT-06","S26 14.557 E27 51.025"
4116263,,"CRTD 12:28 25-OCT-06","S26 13.063 E27 51.949"
4126767,,"CRTD 11:41 21-OCT-06","S26 11.923 E27 51.327"
1615610,414,"CRTD 06:21 17-SEP-06","S26 14.156 E27 52.295"
4165711,,"CRTD 14:26 31-OCT-06","S26 15.277 E27 49.376"
1719309,417,"CRTD 06:46 11-NOV-06","S26 13.354 E27 48.534"
1771776,419,"CRTD 10:30 11-NOV-06","S26 11.465 E27 47.737"
1802264,420,"CRTD 06:22 04-OCT-06","S26 15.575 E28 00.365"
4207727,,"CRTD 12:32 10-OCT-06","S26 15.580 E27 50.080"
4302970,,"CRTD 12:31 12-OCT-06","S26 14.069 E27 51.688"
2155201,431,"CRTD 09:15 19-OCT-06","S26 15.358 E27 57.575"
4341861,,"CRTD 13:58 25-OCT-06","S26 14.542 E27 51.359"
4344933,,"CRTD 12:36 13-OCT-06","S26 13.790 E27 52.167"
4353389,,"CRTD 14:04 26-OCT-06","S26 14.663 E27 50.732"
4370037,,"CRTD 08:28 23-SEP-06","S26 11.420 E27 49.394"
2644360,448,"CRTD 06:25 04-OCT-06","S26 15.496 E28 00.215"
4485432,,"CRTD 06:06 30-NOV-06","S26 11.356 E27 50.929"
4492960,,"CRTD 13:03 20-OCT-06","S26 14.761 E27 50.807"
4496032,,"CRTD 05:40 12-NOV-06","S26 14.297 E28 05.347"
